name,num_game,avg_rating
  Milestone S.r.l.,1,6.67
 AFBIK Studio,2,8
 AYE Technology,1,2.5
 Anea_Duo_Dev,1,5.56
 Asterion Games,1,8.02
 Aurora software,1,10
 Black Poodle Entertainment,1,8.89
 Boogygames Studios,1,4.29
 Dagestan Technology,1,8.8
 David J Ozsvath,1,10
 Droid Riot,1,5
 Fazan,1,6.93
 FobTi interactive,1,9.26
 Game for people,2,7.29
" Game for people	",1,4.48
 GrabTheGames,3,9.48
 I SHOW YOU,1,10
 Imbanova Entertainment Inc.,1,1.92
 Inertia Game Studios,1,8.33
 Maciej Targoni,1,9.18
 MariLuzaria,1,8
 Metal Fox,1,6.67
 Mirain Mainklain,1,9.07
 NRVR Studios,1,8
 Nekyau,4,3.71
 Nekyau Games,3,6.16
 Nikita Online,1,4
 OnBlind,1,3.91
 Polina Medyanik,1,5
 Ragnar,1,2.5
 Ravio Karo,1,9.09
 RoBot,1,5.31
Valve,29,8.92